IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,15809,24134,6224,23933,1654.5
1,15809,24134,6196,23929,1654.5011248875
2,15809,24134,6168,23926,1654.502249775
3,15809,24134,6140,23922,1654.5033746625
4,15809,24134,6112,23918,1654.5045
5,15809,24134,6085,23918,1654.5056248875
6,15809,24134,6057,23918,1654.5067497750001
7,15809,24134,6030,23919,1654.5078746625
8,15809,24134,6002,23919,1654.509
9,15809,24134,5978,23919,1654.5101248875
10,15809,24134,5954,23919,1654.5112497750001
11,15809,24134,5930,23918,1654.5123746625
12,15809,24134,5906,23918,1654.5135
13,15809,24134,5880,23918,1654.5146248875
14,15809,24134,5853,23917,1654.5157497750001
15,15809,24134,5827,23917,1654.5168746625
16,15809,24134,5800,23916,1654.518
17,15809,24134,5772,23912,1654.5191248875
18,15809,24134,5744,23908,1654.5202497750001
19,15809,24134,5716,23903,1654.5213746625
20,15809,24134,5688,23899,1654.5225
21,15721,24006,5794,23875,1654.5236248875
22,15632,23877,5901,23852,1654.5247497750001
23,15544,23749,6007,23828,1654.5258746625
24,15455,23620,6114,23804,1654.527
25,15455,23620,6094,23801,1654.5281248875
26,15455,23620,6074,23798,1654.5292497750002
27,15455,23620,6054,23794,1654.5303746625
28,15455,23620,6034,23791,1654.5315
29,15455,23620,6010,23786,1654.5326248875
30,15455,23620,5986,23781,1654.5337497750002
31,15455,23620,5962,23776,1654.5348746625
32,15455,23620,5938,23771,1654.536
33,15455,23620,5914,23766,1654.5371248875
34,15455,23620,5890,23761,1654.5382497750002
35,15455,23620,5866,23755,1654.5393746625
36,15455,23620,5842,23750,1654.5405
37,15455,23620,5816,23744,1654.5416248875001
38,15455,23620,5789,23739,1654.5427497750002
39,15455,23620,5763,23733,1654.5438746625
40,15455,23620,5736,23727,1654.545
41,15455,23620,5712,23719,1654.5461248875001
42,15455,23620,5688,23711,1654.5472497750002
43,15455,23620,5664,23703,1654.5483746625
44,15455,23620,5640,23695,1654.5495
45,15455,23620,5615,23689,1654.5506248875001
46,15455,23620,5589,23683,1654.5517497750002
47,15455,23620,5564,23677,1654.5528746625
48,15455,23620,5538,23671,1654.554
49,15455,23620,5510,23661,1654.5551248875001
50,15455,23620,5482,23652,1654.5562497750002
51,15455,23620,5454,23642,1654.5573746625
52,15455,23620,5426,23632,1654.5585
53,15455,23620,5402,23620,1654.5596248875001
54,15455,23620,5377,23608,1654.5607497750002
55,15455,23620,5353,23595,1654.5618746625
56,15455,23620,5328,23583,1654.563
57,15455,23620,5304,23573,1654.5641248875002
58,15455,23620,5280,23563,1654.5652497750002
59,15455,23620,5256,23553,1654.5663746625
60,15455,23620,5232,23543,1654.5675
61,15455,23620,5209,23537,1654.5686248875002
62,15455,23620,5185,23531,1654.5697497750002
63,15455,23620,5162,23524,1654.5708746625
64,15455,23620,5138,23518,1654.572
65,15455,23620,5114,23514,1654.5731248875
66,15455,23620,5090,23511,1654.574249775
67,15455,23620,5066,23507,1654.5753746624998
68,15455,23620,5042,23503,1654.5765
69,15455,23620,5016,23496,1654.5776248875
70,15455,23620,4989,23489,1654.578749775
71,15455,23620,4963,23482,1654.5798746624998
72,15455,23620,4936,23475,1654.581
73,15455,23620,4912,23468,1654.5821248875
74,15455,23620,4888,23461,1654.583249775
75,15455,23620,4864,23454,1654.5843746624998
76,15455,23620,4840,23447,1654.5855
77,15366,23490,4942,23423,1654.5866248875
78,15277,23361,5045,23399,1654.587749775
79,15188,23231,5147,23374,1654.5888746624998
80,15099,23101,5250,23350,1654.59
81,15099,23101,5234,23344,1654.5911248875
82,15099,23101,5218,23338,1654.592249775
83,15099,23101,5202,23332,1654.5933746624999
84,15099,23101,5186,23326,1654.5945
85,15099,23101,5158,23318,1654.5956248875
86,15099,23101,5130,23310,1654.596749775
87,15099,23101,5102,23302,1654.5978746624999
88,15099,23101,5074,23294,1654.599
89,15099,23101,5054,23292,1654.6001248875
90,15099,23101,5034,23290,1654.601249775
91,15099,23101,5014,23287,1654.6023746624999
92,15099,23101,4994,23285,1654.6035
93,15099,23101,4972,23284,1654.6046248875
94,15099,23101,4949,23283,1654.605749775
95,15099,23101,4927,23281,1654.6068746624999
96,15099,23101,4904,23280,1654.608
97,15099,23101,4880,23277,1654.6091248875
98,15099,23101,4856,23275,1654.610249775
99,15099,23101,4832,23272,1654.6113746624999
100,15099,23101,4808,23269,1654.6125
101,15099,23101,4787,23266,1654.6136248875
102,15099,23101,4765,23262,1654.614749775
103,15099,23101,4744,23259,1654.6158746625
104,15099,23101,4722,23255,1654.617
105,15099,23101,4698,23249,1654.6181248875
106,15099,23101,4674,23243,1654.619249775
107,15099,23101,4650,23236,1654.6203746625
108,15099,23101,4626,23230,1654.6215
109,15099,23101,4602,23229,1654.6226248875
110,15099,23101,4577,23229,1654.623749775
111,15099,23101,4553,23228,1654.6248746625
112,15099,23101,4528,23227,1654.626
113,15099,23101,4508,23227,1654.6271248875
114,15099,23101,4488,23227,1654.628249775
115,15099,23101,4468,23227,1654.6293746625
116,15099,23101,4448,23227,1654.6305
117,15099,23101,4425,23227,1654.6316248875
118,15099,23101,4401,23227,1654.632749775
119,15099,23101,4378,23227,1654.6338746625
