IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,25895,17738,8424,28766,1630.65
1,25895,17738,8290,28766,1630.6545
2,25895,17738,8146,28735,1630.659
3,25895,17738,8016,28717,1630.6635
4,25895,17738,7872,28663,1630.668
5,25895,17738,7746,28647,1630.6725
6,25895,17738,7618,28619,1630.677
7,25453,17345,8098,28662,1630.6815
8,25453,17345,7986,28631,1630.686
9,25453,17345,7906,28599,1630.6905
10,25453,17345,7762,28539,1630.695
11,25453,17345,7634,28473,1630.6995
12,25453,17345,7512,28399,1630.704
13,25453,17345,7400,28347,1630.7085
14,25453,17345,7282,28295,1630.713
15,25453,17345,7154,28232,1630.7175
16,25453,17345,7024,28156,1630.722
17,25453,17345,6896,28090,1630.7265
18,25453,17345,6802,28046,1630.731
19,25453,17345,6690,27983,1630.7355
20,25011,16952,7122,28048,1630.74
21,25011,16952,7026,28011,1630.7445
22,25011,16952,6946,27974,1630.749
23,25011,16952,6834,27925,1630.7535
24,25011,16952,6706,27862,1630.758
25,25011,16952,6600,27814,1630.7625
26,25011,16952,6488,27771,1630.767
27,25011,16952,6354,27744,1630.7715
28,25011,16952,6258,27707,1630.776
29,25011,16952,6128,27639,1630.7805
30,25011,16952,6032,27628,1630.785
31,25011,16952,5938,27614,1630.7895
32,25011,16952,5826,27582,1630.794
33,24569,16559,6256,27692,1630.7985
34,24569,16559,6144,27630,1630.803
35,24569,16559,6048,27615,1630.8075
36,24569,16559,5954,27598,1630.812
37,24569,16559,5858,27563,1630.8165
38,24569,16559,5752,27511,1630.821
39,24569,16559,5656,27483,1630.8255
40,24569,16559,5554,27455,1630.83
41,24569,16559,5458,27422,1630.8345
42,24569,16559,5344,27352,1630.839
43,24569,16559,5248,27291,1630.8435
44,24120,16166,5634,27421,1630.848
45,24120,16166,5570,27388,1630.8525
46,24120,16166,5474,27357,1630.857
47,24120,16166,5376,27288,1630.8615
48,24120,16166,5280,27246,1630.866
49,24120,16166,5184,27179,1630.8705
50,24120,16166,5090,27127,1630.875
51,24120,16166,4994,27086,1630.8795
52,24120,16166,4904,27054,1630.884
53,24120,16166,4808,27006,1630.8885
54,24120,16166,4722,26990,1630.893
55,24120,16166,4626,26955,1630.8975
56,24120,16166,4528,26920,1630.902
57,24120,16166,4448,26878,1630.9065
58,23715,15849,4736,27035,1630.911
59,23715,15849,4656,27007,1630.9155
60,23715,15849,4592,26992,1630.92
61,23715,15849,4496,26975,1630.9245
62,23715,15849,4416,26942,1630.929
63,23715,15849,4338,26937,1630.9335
64,23715,15849,4242,26907,1630.938
65,23715,15849,4152,26862,1630.9425
66,23715,15849,4072,26844,1630.947
67,23715,15849,4002,26830,1630.9515
68,23715,15849,3922,26808,1630.956
69,23310,15532,4178,26911,1630.9605
70,23310,15532,4098,26845,1630.965
71,23310,15532,4034,26814,1630.9695
72,23310,15532,3954,26775,1630.974
73,23310,15532,3874,26717,1630.9785
74,23310,15532,3808,26653,1630.983
75,23310,15532,3728,26598,1630.9875
76,23310,15532,3650,26541,1630.992
77,23310,15532,3570,26480,1630.9965
78,23310,15532,3512,26437,1631.001
79,23310,15532,3432,26372,1631.0055
80,23310,15532,3352,26328,1631.01
81,23310,15532,3282,26286,1631.0145
82,23310,15532,3202,26211,1631.019
83,22905,15215,3458,26280,1631.0235
