IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,11196,4519,14002,23724,1627.59
1,11196,4519,13946,23709,1627.5911248875
2,11196,4519,13889,23694,1627.592249775
3,11196,4519,13833,23678,1627.5933746624999
4,11196,4519,13776,23663,1627.5945
5,11196,4519,13728,23649,1627.5956248875
6,11196,4519,13680,23635,1627.596749775
7,11196,4519,13632,23621,1627.5978746624999
8,11196,4519,13584,23607,1627.599
9,11196,4519,13529,23591,1627.6001248875
10,11196,4519,13473,23576,1627.601249775
11,11196,4519,13418,23560,1627.6023746624999
12,11196,4519,13362,23544,1627.6035
13,11196,4519,13312,23530,1627.6046248875
14,11196,4519,13261,23516,1627.605749775
15,11196,4519,13211,23501,1627.6068746624999
16,11196,4519,13160,23487,1627.608
17,11196,4519,13112,23477,1627.6091248875
18,11196,4519,13064,23467,1627.610249775
19,11196,4519,13016,23456,1627.6113746624999
20,11196,4519,12968,23446,1627.6125
21,11196,4519,12919,23435,1627.6136248875
22,11196,4519,12869,23425,1627.614749775
23,11196,4519,12820,23414,1627.6158746625
24,11196,4519,12770,23403,1627.617
25,11145,4487,12918,23454,1627.6181248875
26,11093,4456,13066,23504,1627.619249775
27,11042,4424,13214,23555,1627.6203746625
28,10990,4392,13362,23606,1627.6215
29,10990,4392,13310,23592,1627.6226248875
30,10990,4392,13258,23577,1627.623749775
31,10990,4392,13206,23563,1627.6248746625
32,10990,4392,13154,23548,1627.626
33,10990,4392,13122,23542,1627.6271248875
34,10990,4392,13090,23537,1627.628249775
35,10990,4392,13058,23531,1627.6293746625
36,10990,4392,13026,23525,1627.6305
37,10990,4392,12982,23515,1627.6316248875
38,10990,4392,12938,23505,1627.632749775
39,10990,4392,12894,23494,1627.6338746625
40,10990,4392,12850,23484,1627.635
41,10990,4392,12798,23473,1627.6361248875
42,10990,4392,12746,23462,1627.637249775
43,10990,4392,12694,23450,1627.6383746625
44,10990,4392,12642,23439,1627.6395
45,10990,4392,12590,23427,1627.6406248875
46,10990,4392,12537,23415,1627.641749775
47,10990,4392,12485,23402,1627.6428746625
48,10990,4392,12432,23390,1627.644
49,10990,4392,12385,23386,1627.6451248875
50,10990,4392,12337,23381,1627.6462497750001
51,10990,4392,12290,23377,1627.6473746625
52,10990,4392,12242,23372,1627.6485
53,10990,4392,12194,23365,1627.6496248875
54,10990,4392,12146,23358,1627.6507497750001
55,10990,4392,12098,23350,1627.6518746625
56,10990,4392,12050,23343,1627.653
57,10990,4392,12000,23330,1627.6541248875
58,10990,4392,11949,23317,1627.6552497750001
59,10990,4392,11899,23304,1627.6563746625
60,10990,4392,11848,23291,1627.6575
61,10990,4392,11807,23286,1627.6586248875
62,10990,4392,11765,23280,1627.6597497750001
63,10990,4392,11724,23275,1627.6608746625
64,10990,4392,11682,23269,1627.662
65,10990,4392,11634,23259,1627.6631248875
66,10990,4392,11586,23249,1627.6642497750001
67,10990,4392,11538,23239,1627.6653746625
68,10990,4392,11490,23229,1627.6665
69,10939,4360,11626,23274,1627.6676248875
70,10887,4329,11762,23319,1627.6687497750002
71,10836,4297,11898,23364,1627.6698746625
72,10784,4265,12034,23409,1627.671
73,10784,4265,11990,23404,1627.6721248875
74,10784,4265,11946,23399,1627.6732497750002
75,10784,4265,11902,23394,1627.6743746625
