IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,16569,10268,4120,23858,1632.0
1,16569,10268,4099,23846,1632.00112498125
2,16569,10268,4079,23834,1632.0022499625
3,16569,10268,4059,23822,1632.00337494375
4,16569,10268,4038,23810,1632.004499925
5,16569,10268,4018,23798,1632.00562490625
6,16569,10268,3997,23787,1632.0067498875
7,16569,10268,3977,23775,1632.00787486875
8,16569,10268,3956,23763,1632.00899985
9,16569,10268,3936,23751,1632.01012483125
10,16569,10268,3915,23739,1632.0112498125
11,16569,10268,3895,23728,1632.01237479375
12,16569,10268,3874,23716,1632.0134997750001
13,16569,10268,3854,23704,1632.01462475625
14,16569,10268,3834,23692,1632.0157497375
15,16569,10268,3813,23680,1632.01687471875
16,16569,10268,3793,23668,1632.0179997
17,16569,10268,3772,23657,1632.01912468125
18,16569,10268,3752,23645,1632.0202496625
19,16569,10268,3731,23633,1632.02137464375
20,16569,10268,3711,23621,1632.022499625
21,16569,10268,3690,23609,1632.02362460625
22,16569,10268,3670,23597,1632.0247495875
23,16569,10268,3649,23586,1632.02587456875
24,16314,10070,3931,23712,1632.027
25,16314,10070,3912,23707,1632.0281249897728
26,16314,10070,3894,23701,1632.0292499795455
27,16314,10070,3875,23696,1632.0303749693182
28,16314,10070,3856,23691,1632.031499959091
29,16314,10070,3837,23685,1632.0326249488637
30,16314,10070,3819,23680,1632.0337499386364
31,16314,10070,3800,23675,1632.0348749284092
32,16314,10070,3781,23670,1632.035999918182
33,16314,10070,3762,23664,1632.0371249079546
34,16314,10070,3744,23659,1632.0382498977274
35,16314,10070,3725,23654,1632.0393748875
36,16314,10070,3706,23648,1632.0404998772726
37,16314,10070,3687,23643,1632.0416248670454
38,16314,10070,3668,23638,1632.042749856818
39,16314,10070,3650,23632,1632.0438748465908
40,16314,10070,3631,23627,1632.0449998363636
41,16314,10070,3612,23622,1632.0461248261363
42,16314,10070,3593,23616,1632.047249815909
43,16314,10070,3575,23611,1632.0483748056818
44,16314,10070,3556,23606,1632.0494997954545
45,16314,10070,3537,23601,1632.0506247852272
46,16314,10070,3518,23595,1632.051749775
47,16314,10070,3500,23590,1632.0528747647727
48,16314,10070,3481,23585,1632.0539997545454
49,16314,10070,3462,23579,1632.0551247443182
50,16314,10070,3443,23574,1632.056249734091
51,16314,10070,3424,23569,1632.0573747238636
52,16314,10070,3406,23563,1632.0584997136364
53,16314,10070,3387,23558,1632.059624703409
54,16314,10070,3368,23553,1632.0607496931818
55,16314,10070,3349,23547,1632.0618746829546
56,16314,10070,3331,23542,1632.0629996727273
57,16314,10070,3312,23537,1632.0641246625
58,16314,10070,3293,23531,1632.0652496522725
59,16314,10070,3274,23526,1632.0663746420453
60,16314,10070,3256,23521,1632.067499631818
61,16314,10070,3237,23516,1632.0686246215907
62,16314,10070,3218,23510,1632.0697496113635
63,16314,10070,3199,23505,1632.0708746011362
64,16314,10070,3180,23500,1632.071999590909
65,16314,10070,3162,23494,1632.0731245806817
66,16314,10070,3143,23489,1632.0742495704544
67,16314,10070,3124,23484,1632.0753745602271
68,16059,9872,3301,23641,1632.0765
69,16059,9872,3289,23637,1632.0776249933822
70,16059,9872,3278,23633,1632.0787499867647
71,16059,9872,3266,23628,1632.079874980147
72,16059,9872,3254,23624,1632.0809999735293
73,16059,9872,3242,23620,1632.0821249669116
74,16059,9872,3230,23616,1632.083249960294
75,16059,9872,3218,23612,1632.0843749536764
76,16059,9872,3206,23608,1632.0854999470587
77,16059,9872,3195,23604,1632.0866249404412
78,16059,9872,3183,23600,1632.0877499338235
79,16059,9872,3171,23596,1632.0888749272058
80,16059,9872,3159,23592,1632.089999920588
81,16059,9872,3147,23588,1632.0911249139706
82,16059,9872,3135,23583,1632.0922499073529
83,16059,9872,3124,23579,1632.0933749007352
84,16059,9872,3112,23575,1632.0944998941175
85,16059,9872,3100,23571,1632.0956248875
86,16059,9872,3088,23567,1632.0967498808823
87,16059,9872,3076,23563,1632.0978748742646
88,16059,9872,3064,23559,1632.098999867647
89,16059,9872,3053,23555,1632.1001248610294
90,16059,9872,3041,23551,1632.1012498544117
91,16059,9872,3029,23547,1632.102374847794
92,16059,9872,3017,23543,1632.1034998411765
93,16059,9872,3005,23538,1632.1046248345588
94,16059,9872,2993,23534,1632.105749827941
95,16059,9872,2981,23530,1632.1068748213236
96,16059,9872,2970,23526,1632.1079998147059
97,16059,9872,2958,23522,1632.1091248080882
98,16059,9872,2946,23518,1632.1102498014704
99,16059,9872,2934,23514,1632.111374794853
100,16059,9872,2922,23510,1632.1124997882353
101,16059,9872,2910,23506,1632.1136247816175
102,16059,9872,2899,23502,1632.1147497749998
103,16059,9872,2887,23497,1632.1158747683824
104,16059,9872,2875,23493,1632.1169997617646
105,16059,9872,2863,23489,1632.118124755147
106,16059,9872,2851,23485,1632.1192497485295
107,16059,9872,2839,23481,1632.1203747419117
108,15804,9674,2828,23477,1632.121499735294
109,15804,9674,2816,23473,1632.1226247286763
110,15804,9674,2804,23469,1632.1237497220588
111,15804,9674,2792,23465,1632.1248747154411
112,15804,9674,2780,23461,1632.1259997088234
113,15804,9674,2768,23457,1632.127124702206
114,15804,9674,2756,23452,1632.1282496955882
115,15804,9674,2745,23448,1632.1293746889705
116,15804,9674,2733,23444,1632.1304996823528
117,15804,9674,2721,23440,1632.1316246757353
118,15804,9674,2709,23436,1632.1327496691176
119,15804,9674,2697,23432,1632.1338746625
120,15804,9674,2685,23428,1632.1349996558824
121,15804,9674,2674,23424,1632.1361246492647
122,15804,9674,2662,23420,1632.137249642647
123,15804,9674,2650,23416,1632.1383746360293
124,15804,9674,2638,23412,1632.1394996294118
125,15804,9674,2626,23407,1632.1406246227941
126,15804,9674,2614,23403,1632.1417496161764
127,15804,9674,2602,23399,1632.1428746095587
128,15804,9674,2591,23395,1632.1439996029412
129,15804,9674,2579,23391,1632.1451245963235
130,15804,9674,2567,23387,1632.1462495897058
131,15804,9674,2555,23383,1632.1473745830883
132,15804,9674,2543,23379,1632.1484995764706
133,15804,9674,2531,23375,1632.149624569853
134,15804,9674,2520,23371,1632.1507495632352
135,15804,9674,2508,23367,1632.1518745566177
136,15549,9476,10329,24561,1632.153
137,15549,9476,10291,24552,1632.154124990625
138,15549,9476,10253,24543,1632.15524998125
139,15549,9476,10216,24533,1632.156374971875
140,15549,9476,10178,24524,1632.1574999625
141,15549,9476,10140,24515,1632.1586249531251
142,15549,9476,10103,24506,1632.15974994375
143,15549,9476,10065,24497,1632.160874934375
144,15549,9476,10027,24487,1632.1619999250001
145,15549,9476,9990,24478,1632.163124915625
146,15549,9476,9952,24469,1632.16424990625
147,15549,9476,9914,24460,1632.165374896875
148,15549,9476,9877,24451,1632.1664998875
149,15549,9476,9839,24441,1632.167624878125
150,15549,9476,9801,24432,1632.16874986875
151,15549,9476,9764,24423,1632.169874859375
152,15549,9476,9726,24414,1632.17099985
153,15549,9476,9688,24405,1632.172124840625
154,15549,9476,9651,24395,1632.1732498312501
155,15549,9476,9613,24386,1632.174374821875
156,15549,9476,9575,24377,1632.1754998125
157,15549,9476,9538,24368,1632.1766248031252
158,15549,9476,9500,24359,1632.17774979375
159,15549,9476,9462,24349,1632.178874784375
160,15549,9476,9424,24340,1632.179999775
161,15549,9476,9387,24331,1632.181124765625
162,15549,9476,9349,24322,1632.18224975625
163,15549,9476,9311,24313,1632.183374746875
164,15549,9476,9274,24303,1632.1844997375001
165,15549,9476,9236,24294,1632.185624728125
166,15549,9476,9198,24285,1632.18674971875
167,15549,9476,9161,24276,1632.1878747093751
168,15549,9476,9123,24267,1632.1889997
169,15549,9476,9085,24257,1632.190124690625
170,15549,9476,9048,24248,1632.1912496812502
171,15549,9476,9010,24239,1632.192374671875
172,15549,9476,8972,24230,1632.1934996625
173,15549,9476,8935,24221,1632.1946246531252
174,15549,9476,8897,24212,1632.19574964375
175,15549,9476,8859,24202,1632.196874634375
176,15549,9476,8822,24193,1632.1979996250002
177,15549,9476,8784,24184,1632.1991246156251
178,15549,9476,8746,24175,1632.20024960625
179,15549,9476,8709,24166,1632.201374596875
180,15549,9476,8671,24156,1632.2024995875001
181,15549,9476,8633,24147,1632.203624578125
182,15549,9476,8596,24138,1632.20474956875
183,15549,9476,8558,24129,1632.2058745593752
184,15294,9278,9115,24322,1632.207
185,15294,9278,9081,24313,1632.2081249887501
186,15294,9278,9046,24305,1632.2092499775001
187,15294,9278,9012,24296,1632.2103749662501
188,15294,9278,8978,24287,1632.2114999550001
189,15294,9278,8944,24279,1632.2126249437501
