IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,52142,38647,3394,38047,1628.4
1,52142,38647,3330,37982,1628.4045
2,52142,38647,3266,37950,1628.409
3,52142,38647,3184,37887,1628.4135
4,52142,38647,3120,37877,1628.418
5,52142,38647,3056,37837,1628.4225
6,52142,38647,2994,37808,1628.427
7,52142,38647,2930,37743,1628.4315
8,52142,38647,2872,37686,1628.436
9,52142,38647,2792,37623,1628.4405
10,51300,37971,3016,37408,1628.445
11,51300,37971,2952,37359,1628.4495
12,51300,37971,2888,37309,1628.454
13,51300,37971,2840,37271,1628.4585
14,51300,37971,2776,37235,1628.463
15,51300,37971,2706,37224,1628.4675
16,51300,37971,2658,37211,1628.472
17,51300,37971,2576,37176,1628.4765
18,50458,37295,9874,41575,1628.481
19,50458,37295,9704,41464,1628.4855
20,50458,37295,9592,41438,1628.49
21,50458,37295,9458,41404,1628.4945
22,50458,37295,9314,41389,1628.499
23,50458,37295,9152,41335,1628.5035
24,50458,37295,9024,41334,1628.508
25,50458,37295,8898,41336,1628.5125
26,50458,37295,8754,41307,1628.517
27,50458,37295,8616,41263,1628.5215
28,50458,37295,8450,41208,1628.526
29,50458,37295,8338,41207,1628.5305
30,50458,37295,8176,41142,1628.535
31,50458,37295,8048,41087,1628.5395
32,49616,36619,8546,40823,1628.544
33,49616,36619,8450,40742,1628.5485
34,49616,36619,8322,40649,1628.553
35,49616,36619,8176,40536,1628.5575
36,49616,36619,8048,40444,1628.562
37,49616,36619,7938,40365,1628.5665
38,49616,36619,7826,40285,1628.571
39,49616,36619,7688,40147,1628.5755
40,49616,36619,7576,40045,1628.58
41,49616,36619,7442,39915,1628.5845
42,49616,36619,7314,39803,1628.589
43,49616,36619,7184,39677,1628.5935
44,49616,36619,7072,39602,1628.598
45,48774,35943,7538,39355,1628.6025
46,48774,35943,7442,39259,1628.607
47,48774,35943,7330,39148,1628.6115
48,48774,35943,7202,39035,1628.616
49,48774,35943,7088,38955,1628.6205
50,48774,35943,6962,38875,1628.625
51,48774,35943,6866,38811,1628.6295
52,48774,35943,6754,38715,1628.634
53,48774,35943,6632,38623,1628.6385
54,48774,35943,6520,38575,1628.643
55,48774,35943,6418,38555,1628.6475
56,48774,35943,6290,38509,1628.652
57,47932,35267,6706,38352,1628.6565
58,47932,35267,6610,38270,1628.661
59,47932,35267,6498,38197,1628.6655
60,47932,35267,6418,38134,1628.67
61,47932,35267,6306,38075,1628.6745
62,47932,35267,6192,37998,1628.679
63,47932,35267,6096,37942,1628.6835
64,47932,35267,5986,37868,1628.688
65,47932,35267,5890,37780,1628.6925
66,47932,35267,5800,37709,1628.697
67,47932,35267,5688,37607,1628.7015
68,47090,34591,6066,37483,1628.706
69,47090,34591,5986,37417,1628.7105
70,47090,34591,5890,37324,1628.715
71,47090,34591,5800,37243,1628.7195
72,47090,34591,5688,37106,1628.724
73,47090,34591,5602,37022,1628.7285
74,47090,34591,5490,36916,1628.733
75,47090,34591,5392,36822,1628.7375
76,47090,34591,5296,36758,1628.742
77,47090,34591,5216,36693,1628.7465
78,47090,34591,5106,36602,1628.751
79,47090,34591,5026,36574,1628.7555
80,47090,34591,4936,36532,1628.76
81,47090,34591,4840,36494,1628.7645
82,47090,34591,4754,36476,1628.769
83,47090,34591,4674,36445,1628.7735
84,46241,33908,5032,36335,1628.778
85,46241,33908,4968,36309,1628.7825
86,46241,33908,4888,36270,1628.787
87,46241,33908,4802,36236,1628.7915
88,46241,33908,4706,36208,1628.796
89,46241,33908,4626,36183,1628.8005
90,46241,33908,4544,36135,1628.805
91,46241,33908,4448,36091,1628.8095
92,46241,33908,4370,36077,1628.814
93,46241,33908,4290,36046,1628.8185
94,46241,33908,4216,36015,1628.823
95,46241,33908,4120,35962,1628.8275
96,46241,33908,4050,35931,1628.832
97,46241,33908,3954,35854,1628.8365
98,46241,33908,3890,35815,1628.841
99,45604,33392,4114,35616,1628.8455
100,45604,33392,4050,35566,1628.85
101,45604,33392,3986,35511,1628.8545
102,45604,33392,3906,35435,1628.859
103,45604,33392,3824,35335,1628.8635
104,45604,33392,3744,35261,1628.868
105,45604,33392,3682,35214,1628.8725
106,45604,33392,3602,35131,1628.877
107,45604,33392,3528,35056,1628.8815
108,45604,33392,3448,34995,1628.886
109,45604,33392,3368,34937,1628.8905
110,44967,32876,3592,34751,1628.895
111,44967,32876,3528,34702,1628.8995
112,44967,32876,3464,34654,1628.904
113,44967,32876,3400,34612,1628.9085
114,44967,32876,3314,34557,1628.913
115,44967,32876,3250,34542,1628.9175
116,44967,32876,3184,34504,1628.922
117,44967,32876,3120,34476,1628.9265
118,44330,32360,3328,34359,1628.931
119,44330,32360,3248,34328,1628.9355
120,44330,32360,3184,34295,1628.94
121,44330,32360,3120,34272,1628.9445
122,44330,32360,3056,34248,1628.949
123,44330,32360,2994,34239,1628.9535
124,44330,32360,2930,34203,1628.958
125,44330,32360,2872,34157,1628.9625
126,44330,32360,2792,34109,1628.967
127,44330,32360,2738,34104,1628.9715
128,44330,32360,2674,34070,1628.976
129,44330,32360,2594,34027,1628.9805
130,43693,31844,2802,33903,1628.985
131,43693,31844,2738,33844,1628.9895
132,43693,31844,2674,33774,1628.994
133,43693,31844,2610,33726,1628.9985
134,43693,31844,2544,33662,1629.003
135,43056,31328,9810,36700,1629.0075
136,43056,31328,9640,36589,1629.012
137,43056,31328,9496,36494,1629.0165
138,43056,31328,9346,36398,1629.021
139,43056,31328,9218,36332,1629.0255
140,43056,31328,9072,36287,1629.03
141,43056,31328,8946,36271,1629.0345
142,43056,31328,8802,36220,1629.039
143,43056,31328,8680,36172,1629.0435
144,43056,31328,8536,36119,1629.048
145,43056,31328,8386,36078,1629.0525
146,43056,31328,8258,36075,1629.057
147,42419,30812,8712,36081,1629.0615
148,42419,30812,8616,36077,1629.066
149,42419,30812,8504,36048,1629.0705
150,42419,30812,8370,36025,1629.075
151,42419,30812,8226,35979,1629.0795
152,42419,30812,8096,35958,1629.084
153,42419,30812,7968,35950,1629.0885
154,42419,30812,7842,35962,1629.093
155,42419,30812,7714,35941,1629.0975
156,42419,30812,7592,35903,1629.102
157,42419,30812,7464,35871,1629.1065
158,42419,30812,7330,35836,1629.111
159,42419,30812,7202,35807,1629.1155
160,41782,30296,7618,35726,1629.12
161,41782,30296,7490,35663,1629.1245
162,41782,30296,7410,35619,1629.129
163,41782,30296,7282,35547,1629.1335
164,41782,30296,7154,35454,1629.138
165,41782,30296,7040,35381,1629.1425
166,41782,30296,6930,35322,1629.147
167,41782,30296,6802,35255,1629.1515
168,41782,30296,6690,35182,1629.156
169,41782,30296,6584,35102,1629.1605
170,41782,30296,6472,35035,1629.165
171,41145,29780,6840,34911,1629.1695
172,41145,29780,6728,34837,1629.174
173,41145,29780,6648,34780,1629.1785
174,41145,29780,6536,34718,1629.183
175,41145,29780,6434,34670,1629.1875
176,41145,29780,6322,34605,1629.192
177,41145,29780,6192,34519,1629.1965
178,41145,29780,6096,34475,1629.201
179,41145,29780,5986,34430,1629.2055
180,41145,29780,5874,34398,1629.21
181,40508,29264,6210,34334,1629.2145
182,40508,29264,6114,34286,1629.219
183,40508,29264,6050,34253,1629.2235
184,40508,29264,5938,34203,1629.228
185,40508,29264,5842,34157,1629.2325
186,40508,29264,5736,34105,1629.237
187,40508,29264,5624,34042,1629.2415
188,40508,29264,5538,34028,1629.246
189,40508,29264,5442,33962,1629.2505
190,40508,29264,5328,33868,1629.255
191,40508,29264,5232,33787,1629.2595
192,39871,28740,5552,33742,1629.264
193,39871,28740,5456,33663,1629.2685
194,39871,28740,5392,33627,1629.273
195,39871,28740,5296,33536,1629.2775
196,39871,28740,5200,33453,1629.282
197,39871,28740,5106,33358,1629.2865
198,39871,28740,5010,33270,1629.291
199,39871,28740,4920,33207,1629.2955
200,39871,28740,4840,33150,1629.3
201,39871,28740,4754,33108,1629.3045
202,39871,28740,4658,33015,1629.309
203,39219,28221,4984,33016,1629.3135
204,39219,28221,4904,32955,1629.318
205,39219,28221,4824,32893,1629.3225
206,39219,28221,4738,32854,1629.327
207,39219,28221,4658,32814,1629.3315
208,39219,28221,4560,32748,1629.336
209,39219,28221,4480,32695,1629.3405
210,39219,28221,4402,32685,1629.345
211,39219,28221,4306,32654,1629.3495
212,39219,28221,4226,32630,1629.354
213,39219,28221,4136,32614,1629.3585
214,39219,28221,4056,32589,1629.363
215,39219,28221,3986,32574,1629.3675
216,39219,28221,3906,32552,1629.372
217,38567,27702,4194,32568,1629.3765
218,38567,27702,4098,32510,1629.381
219,38567,27702,4050,32519,1629.3855
220,38567,27702,3986,32501,1629.39
221,38567,27702,3906,32461,1629.3945
222,38567,27702,3824,32403,1629.399
223,38567,27702,3744,32350,1629.4035
224,38567,27702,3682,32333,1629.408
225,38567,27702,3602,32285,1629.4125
226,38567,27702,3522,32239,1629.417
227,38567,27702,3448,32187,1629.4215
228,38567,27702,3384,32142,1629.426
229,38567,27702,3314,32092,1629.4305
230,38567,27702,3234,32030,1629.435
231,37915,27183,3512,31974,1629.4395
232,37915,27183,3448,31917,1629.444
233,37915,27183,3368,31852,1629.4485
234,37915,27183,3298,31788,1629.453
235,37915,27183,3218,31723,1629.4575
236,37915,27183,3152,31667,1629.462
237,37915,27183,3088,31612,1629.4665
238,37915,27183,3026,31596,1629.471
239,37915,27183,2962,31566,1629.4755
240,37915,27183,2898,31541,1629.48
241,37263,26664,3122,31500,1629.4845
242,37263,26664,3058,31455,1629.489
243,37263,26664,3010,31437,1629.4935
244,37263,26664,2946,31401,1629.498
