IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,11425,4698,17448,24220,1627.5
1,11425,4698,17448,24209,1627.5014999625
2,11425,4698,17448,24199,1627.502999925
3,11425,4698,17176,24188,1627.5044998875
4,11425,4698,17176,24177,1627.50599985
5,11425,4698,17176,24167,1627.5074998125
6,11425,4698,16946,24156,1627.5089997750001
7,11425,4698,16946,24145,1627.5104997375
8,11425,4698,16946,24135,1627.5119997
9,11425,4698,16706,24124,1627.5134996625
10,11425,4698,16706,24113,1627.514999625
11,11425,4698,16706,24103,1627.5164995875
12,11425,4698,16432,24080,1627.518
13,11425,4698,16432,24070,1627.5194999833334
14,11425,4698,16432,24060,1627.5209999666667
15,11425,4698,16226,24049,1627.52249995
16,11425,4698,16226,24039,1627.5239999333335
17,11425,4698,16226,24028,1627.5254999166666
18,11425,4698,15986,24018,1627.5269999
19,11425,4698,15986,24008,1627.5284998833333
20,11425,4698,15986,23997,1627.5299998666667
21,11425,4698,15752,23987,1627.53149985
22,11425,4698,15752,23977,1627.5329998333334
23,11425,4698,15752,23966,1627.5344998166668
24,11425,4698,15522,23956,1627.5359998000001
25,11425,4698,15522,23945,1627.5374997833335
26,11425,4698,15522,23935,1627.5389997666666
27,11425,4698,15266,23925,1627.54049975
28,11425,4698,15266,23914,1627.5419997333333
29,11425,4698,15266,23904,1627.5434997166667
30,11425,4698,15040,23893,1627.5449997
31,11425,4698,15040,23883,1627.5464996833334
32,11425,4698,15040,23873,1627.5479996666668
33,11425,4698,14834,23862,1627.5494996500001
34,11425,4698,14834,23852,1627.5509996333335
35,11425,4698,14834,23842,1627.5524996166666
36,11425,4698,14578,23831,1627.5539996
37,11425,4698,14578,23821,1627.5554995833334
38,11425,4698,14578,23810,1627.5569995666667
39,11196,4519,15426,24055,1627.5585
40,11196,4519,15426,24045,1627.55999995
41,11196,4519,15426,24035,1627.5614999000002
42,11196,4519,15234,24025,1627.56299985
43,11196,4519,15234,24015,1627.5644998
44,11196,4519,15234,24005,1627.5659997500002
45,11196,4519,15074,23995,1627.5674997
46,11196,4519,15074,23985,1627.56899965
47,11196,4519,15074,23975,1627.5704996000002
48,11196,4519,14834,23931,1627.572
49,11196,4519,14834,23915,1627.5734999249999
50,11196,4519,14834,23900,1627.5749998499998
51,11196,4519,14642,23884,1627.5764997749998
52,11196,4519,14642,23868,1627.5779997
53,11196,4519,14642,23853,1627.579499625
54,11196,4519,14424,23806,1627.581
55,11196,4519,14424,23792,1627.5824999499998
56,11196,4519,14424,23779,1627.5839999
57,11196,4519,14226,23766,1627.58549985
58,11196,4519,14226,23752,1627.5869997999998
59,11196,4519,14226,23739,1627.58849975
60,11196,4519,14002,23726,1627.5899997
61,11196,4519,14002,23712,1627.5914996499998
62,11196,4519,14002,23699,1627.5929996
63,11196,4519,13776,23663,1627.5945
64,11196,4519,13776,23644,1627.595999925
65,11196,4519,13776,23626,1627.5974998499998
66,11196,4519,13584,23607,1627.5989997749998
67,11196,4519,13584,23588,1627.6004997
68,11196,4519,13584,23570,1627.601999625
69,11196,4519,13362,23540,1627.6035
70,11196,4519,13362,23524,1627.6049999625
71,11196,4519,13362,23509,1627.606499925
72,11196,4519,13160,23493,1627.6079998875
73,11196,4519,13160,23478,1627.60949985
74,11196,4519,13160,23462,1627.6109998125
75,11196,4519,12968,23447,1627.6124997749998
76,11196,4519,12968,23431,1627.6139997374999
77,11196,4519,12968,23416,1627.6154996999999
78,11196,4519,12770,23400,1627.6169996625
79,11196,4519,12770,23385,1627.618499625
80,11196,4519,12770,23369,1627.6199995875
81,10990,4392,13362,23593,1627.6215
82,10990,4392,13362,23581,1627.6229999863635
83,10990,4392,13362,23568,1627.6244999727273
84,10990,4392,13154,23556,1627.625999959091
85,10990,4392,13111,23544,1627.6274999454545
86,10990,4392,13069,23532,1627.6289999318183
87,10990,4392,13026,23519,1627.6304999181818
