IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,7660,8400,2792,18391,1650.801
1,7660,8400,2728,18379,1650.8055
2,7660,8400,2642,18366,1650.81
3,7660,8400,2578,18359,1650.8145
4,7660,8400,2512,18350,1650.819
5,7486,8192,11168,19710,1650.8235
6,7486,8192,10978,19702,1650.828
7,7486,8192,10834,19693,1650.8325
8,7486,8192,10648,19662,1650.837
9,7486,8192,10482,19642,1650.8415
10,7486,8192,10306,19614,1650.846
11,7312,7984,10882,19821,1650.8505
12,7312,7984,10706,19803,1650.855
13,7312,7984,10610,19787,1650.8595
14,7312,7984,10450,19756,1650.864
15,7312,7984,10274,19700,1650.8685
16,7312,7984,10096,19652,1650.873
17,7312,7984,9954,19627,1650.8775
18,7312,7984,9794,19579,1650.882
19,7312,7984,9640,19532,1650.8865
20,7312,7984,9480,19461,1650.891
