IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,11425,4698,17448,24222,1627.5
1,11425,4698,17380,24212,1627.5011248875
2,11425,4698,17312,24203,1627.502249775
3,11425,4698,17244,24193,1627.5033746625
4,11425,4698,17176,24183,1627.5045
5,11425,4698,17119,24177,1627.5056248875
6,11425,4698,17061,24172,1627.5067497750001
7,11425,4698,17004,24166,1627.5078746625
8,11425,4698,16946,24160,1627.509
9,11425,4698,16886,24151,1627.5101248875
10,11425,4698,16826,24142,1627.5112497750001
11,11425,4698,16766,24132,1627.5123746625
12,11425,4698,16706,24123,1627.5135
13,11425,4698,16638,24107,1627.5146248875
14,11425,4698,16569,24091,1627.5157497750001
15,11425,4698,16501,24075,1627.5168746625
16,11425,4698,16432,24059,1627.518
17,11425,4698,16381,24056,1627.5191248875
18,11425,4698,16329,24053,1627.5202497750001
19,11425,4698,16278,24049,1627.5213746625
20,11425,4698,16226,24046,1627.5225
21,11425,4698,16166,24041,1627.5236248875
22,11425,4698,16106,24035,1627.5247497750001
23,11425,4698,16046,24030,1627.5258746625
24,11425,4698,15986,24024,1627.527
25,11425,4698,15928,24016,1627.5281248875
26,11425,4698,15869,24007,1627.5292497750002
27,11425,4698,15811,23999,1627.5303746625
28,11425,4698,15752,23990,1627.5315
29,11425,4698,15695,23988,1627.5326248875
30,11425,4698,15637,23986,1627.5337497750002
31,11425,4698,15580,23984,1627.5348746625
32,11425,4698,15522,23982,1627.536
33,11425,4698,15458,23970,1627.5371248875
34,11425,4698,15394,23958,1627.5382497750002
35,11425,4698,15330,23946,1627.5393746625
36,11425,4698,15266,23934,1627.5405
37,11425,4698,15210,23925,1627.5416248875001
38,11425,4698,15153,23916,1627.5427497750002
39,11425,4698,15097,23907,1627.5438746625
40,11425,4698,15040,23898,1627.545
41,11425,4698,14989,23889,1627.5461248875001
42,11425,4698,14937,23881,1627.5472497750002
43,11425,4698,14886,23872,1627.5483746625
44,11425,4698,14834,23863,1627.5495
45,11425,4698,14770,23849,1627.5506248875001
46,11425,4698,14706,23835,1627.5517497750002
47,11425,4698,14642,23820,1627.5528746625
48,11425,4698,14578,23806,1627.554
49,11368,4653,14790,23868,1627.5551248875001
50,11311,4609,15002,23931,1627.5562497750002
51,11253,4564,15214,23993,1627.5573746625
52,11196,4519,15426,24056,1627.5585
53,11196,4519,15378,24048,1627.5596248875001
54,11196,4519,15330,24039,1627.5607497750002
55,11196,4519,15282,24031,1627.5618746625
56,11196,4519,15234,24022,1627.563
57,11196,4519,15194,24016,1627.5641248875002
58,11196,4519,15154,24009,1627.5652497750002
59,11196,4519,15114,24003,1627.5663746625
60,11196,4519,15074,23996,1627.5675
61,11196,4519,15014,23980,1627.5686248875002
62,11196,4519,14954,23964,1627.5697497750002
63,11196,4519,14894,23947,1627.5708746625
64,11196,4519,14834,23931,1627.572
65,11196,4519,14786,23919,1627.5731248875
66,11196,4519,14738,23908,1627.574249775
67,11196,4519,14690,23896,1627.5753746624998
68,11196,4519,14642,23884,1627.5765
69,11196,4519,14588,23864,1627.5776248875
70,11196,4519,14533,23844,1627.578749775
71,11196,4519,14479,23824,1627.5798746624998
72,11196,4519,14424,23804,1627.581
