IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,7486,8192,11168,19710,1650.823500000
1,7486,8192,11165,19710,1650.823553105
2,7486,8192,11162,19709,1650.823606211
3,7486,8192,11159,19709,1650.823659316
4,7486,8192,11156,19709,1650.823712421
5,7486,8192,11153,19709,1650.823765527
6,7486,8192,11150,19708,1650.823818632
7,7486,8192,11147,19708,1650.823871737
8,7486,8192,11144,19708,1650.823924842
9,7486,8192,11141,19708,1650.823977948
10,7486,8192,11138,19708,1650.824031053
11,7486,8192,11135,19707,1650.824084158
12,7486,8192,11132,19707,1650.824137264
13,7486,8192,11129,19707,1650.824190369
14,7486,8192,11126,19707,1650.824243474
15,7486,8192,11124,19706,1650.824296580
16,7486,8192,11121,19706,1650.824349685
17,7486,8192,11118,19706,1650.824402790
18,7486,8192,11116,19706,1650.824455896
19,7486,8192,11113,19706,1650.824509001
20,7486,8192,11110,19706,1650.824562106
21,7486,8192,11108,19705,1650.824615212
22,7486,8192,11105,19705,1650.824668317
23,7486,8192,11102,19705,1650.824721422
24,7486,8192,11100,19705,1650.824774527
25,7486,8192,11097,19705,1650.824827633
26,7486,8192,11095,19705,1650.824880738
27,7486,8192,11092,19705,1650.824933843
28,7486,8193,11090,19704,1650.824986949
29,7486,8193,11088,19704,1650.825040054
30,7486,8193,11085,19704,1650.825093159
31,7486,8193,11083,19704,1650.825146265
32,7486,8193,11080,19704,1650.825199370
33,7486,8193,11078,19704,1650.825252475
34,7486,8193,11076,19704,1650.825305581
35,7486,8193,11073,19704,1650.825358686
36,7486,8193,11071,19704,1650.825411791
37,7486,8193,11069,19703,1650.825464896
38,7486,8193,11067,19703,1650.825518002
39,7486,8193,11064,19703,1650.825571107
40,7486,8193,11062,19703,1650.825624212
41,7486,8193,11060,19703,1650.825677318
42,7486,8193,11058,19703,1650.825730423
43,7486,8193,11056,19703,1650.825783528
44,7486,8193,11053,19703,1650.825836634
45,7486,8192,11051,19703,1650.825889739
46,7486,8192,11049,19703,1650.825942844
47,7486,8192,11047,19703,1650.825995950
48,7486,8192,11045,19703,1650.826049055
49,7486,8192,11043,19703,1650.826102160
50,7486,8192,11041,19703,1650.826155266
51,7486,8192,11039,19703,1650.826208371
52,7486,8192,11037,19703,1650.826261476
53,7486,8192,11035,19702,1650.826314581
54,7486,8192,11033,19702,1650.826367687
55,7486,8192,11031,19702,1650.826420792
56,7486,8192,11029,19702,1650.826473897
57,7486,8192,11027,19702,1650.826527003
58,7486,8192,11025,19702,1650.826580108
59,7486,8192,11023,19702,1650.826633213
60,7486,8192,11021,19702,1650.826686319
61,7486,8192,11019,19702,1650.826739424
62,7486,8192,11018,19702,1650.826792529
63,7486,8192,11016,19702,1650.826845635
64,7486,8192,11014,19702,1650.826898740
65,7486,8192,11012,19702,1650.826951845
66,7486,8192,11010,19702,1650.827004950
67,7486,8192,11008,19702,1650.827058056
68,7486,8192,11007,19702,1650.827111161
69,7486,8192,11005,19702,1650.827164266
70,7486,8192,11003,19702,1650.827217372
