IDX,Voltage,Target Wl
0,2.2807135,1627.5
1,4.68377474,1627.5045
2,3.25556099,1627.509
3,1.65813401,1627.5135
4,1.50982207,1627.518
5,2.35467136,1627.5225
6,4.61350786,1627.527
7,3.23641326,1627.5315
8,1.66373913,1627.536
9,1.51962662,1627.5405
10,2.47422178,1627.545
11,4.58964987,1627.5495
12,3.16582303,1627.554
13,1.49323839,1627.5585
14,1.65956348,1627.563
15,2.54265475,1627.5675
16,4.78218421,1627.572
17,3.01101061,1627.5765
18,1.67146446,1627.581
19,1.50966348,1627.5855
20,2.56724057,1627.59
21,4.73328134,1627.5945
22,3.25802335,1627.599
23,1.66677729,1627.6035
24,1.50859886,1627.608
25,2.43528386,1627.6125
26,4.61098425,1627.617
27,2.34895565,1627.6215
28,1.49818663,1627.626
29,1.52986808,1627.6305
30,2.34179256,1627.635
31,4.67475906,1627.6395
32,3.057525,1627.644
33,1.61631161,1627.6485
34,1.53885914,1627.653
35,2.6590487,1627.6575
36,4.72003378,1627.662
37,3.00127129,1627.6665
38,1.47946914,1627.671
39,1.79303513,1627.6755
40,2.56774951,1627.68
41,4.73740474,1627.6845
42,2.88339302,1627.689
43,1.54207828,1627.6935
44,1.55885735,1627.698
45,2.68953564,1627.7025
46,4.72314739,1627.707
47,2.04327938,1627.7115
48,1.45395999,1627.716
49,1.57417016,1627.7205
50,2.95098231,1627.725
51,4.73118173,1627.7295
52,2.65623085,1627.734
53,1.52485705,1627.7385
54,1.61061547,1627.743
55,2.81351919,1627.7475
56,4.70255305,1627.752
57,2.02503053,1627.7565
58,1.43981383,1627.761
59,1.66606011,1627.7655
60,3.07872009,1627.77
61,4.63122741,1627.7745
62,2.33602755,1627.779
63,1.46831934,1627.7835
64,1.66719512,1627.788
65,3.18698415,1627.7925
66,4.57170308,1627.797
67,2.19799591,1627.8015
68,1.45939305,1627.806
69,1.68236103,1627.8105
70,4.01076319,1627.815
71,3.85305681,1627.8195
72,2.26272281,1627.824
73,1.48037259,1627.8285
74,1.69070506,1627.833
75,3.38469652,1627.8375
76,4.38423086,1627.842
77,2.23399753,1627.8465
78,1.45657228,1627.851
79,1.71683421,1627.8555
80,3.28370754,1627.86
81,4.47379776,1627.8645
82,1.75795322,1627.869
83,1.45276818,1627.8735
84,1.7282198,1627.878
85,3.42678286,1627.8825
86,4.6031769,1627.887
87,2.23536224,1627.8915
88,1.45315987,1627.896
89,1.65568289,1627.9005
90,3.22394453,1627.905
91,4.5277439,1627.9095
92,2.22861589,1627.914
93,1.44445764,1627.9185
94,1.77355231,1627.923
95,3.36116992,1627.9275
96,4.5425773,1627.932
97,2.11436106,1627.9365
98,1.45027479,1627.941
99,1.70862827,1627.9455
100,3.17109199,1627.95
101,4.61727683,1627.9545
102,2.35439036,1627.959
103,1.44411341,1627.9635
104,1.94899452,1627.968
105,3.17374761,1627.9725
106,4.55177934,1627.977
107,2.15534221,1627.9815
108,1.47855036,1627.986
109,1.75183119,1627.9905
110,3.40045479,1627.995
111,4.60181699,1627.9995
112,2.31612304,1628.004
113,1.42997202,1628.0085
114,1.71153129,1628.013
115,3.21483164,1628.0175
116,4.00068255,1628.022
