IDX,Voltage,Target Wl
0,2.62127748,1627.5
1,2.24740524,1627.5011248875
2,1.94203222,1627.502249775
3,1.7603902,1627.5033746625
4,1.67347332,1627.5045
5,1.67641603,1627.5056248875
6,1.75262117,1627.5067497750001
7,1.8949971,1627.5078746625
8,2.12888268,1627.509
9,2.58532022,1627.5101248875
10,3.19220841,1627.5112497750001
11,3.90592008,1627.5123746625
12,4.80759812,1627.5135
13,5.36214074,1627.5146248875
14,5.30386689,1627.5157497750001
15,4.56818903,1627.5168746625
16,3.71328709,1627.518
17,3.13925396,1627.5191248875
18,2.47411277,1627.5202497750001
19,2.15665086,1627.5213746625
20,1.91171782,1627.5225
21,1.73333279,1627.5236248875
22,1.67561556,1627.5247497750001
23,1.69676834,1627.5258746625
24,1.79215715,1627.527
25,1.95412004,1627.5281248875
26,2.28715662,1627.5292497750002
27,2.77643328,1627.5303746625
28,3.47838986,1627.5315
29,4.32048819,1627.5326248875
30,5.1253941,1627.5337497750002
31,5.38786887,1627.5348746625
32,5.312889,1627.536
33,4.59521416,1627.5371248875
34,3.67466061,1627.5382497750002
35,2.87722981,1627.5393746625
36,2.31309194,1627.5405
37,1.95944218,1627.5416248875001
38,1.78881887,1627.5427497750002
39,1.694998,1627.5438746625
40,1.68362224,1627.545
41,1.74848523,1627.5461248875001
42,1.88375228,1627.5472497750002
43,2.0356458,1627.5483746625
44,2.39235916,1627.5495
45,2.99454994,1627.5506248875001
46,3.80184697,1627.5517497750002
47,4.72693983,1627.5528746625
48,5.33279707,1627.554
49,5.26971518,1627.5551248875001
50,4.97841883,1627.5562497750002
51,4.66837575,1627.5573746625
52,4.01131282,1627.5585
53,4.73482342,1627.5596248875001
54,5.32861286,1627.5607497750002
55,5.38873565,1627.5618746625
56,5.13441143,1627.563
57,4.55690568,1627.5641248875002
58,3.84890722,1627.5652497750002
59,3.35021809,1627.5663746625
60,2.85952422,1627.5675
61,2.27042688,1627.5686248875002
62,1.95648494,1627.5697497750002
63,1.75942352,1627.5708746625
64,1.68399145,1627.572
65,1.67945199,1627.5731248875
66,1.73605178,1627.574249775
67,1.85435187,1627.5753746624998
68,2.07580259,1627.5765
69,2.36888434,1627.5776248875
70,2.95628131,1627.578749775
71,3.5217909,1627.5798746624998
72,4.34393036,1627.581
73,5.13779175,1627.5821248875
74,5.39007366,1627.583249775
75,5.3386955,1627.5843746624998
76,4.66259608,1627.5855
77,3.79272154,1627.5866248875
78,3.02544651,1627.587749775
79,2.41623961,1627.5888746624998
80,2.05205473,1627.59
81,1.82240642,1627.5911248875
82,1.7061751,1627.592249775
83,1.67481426,1627.5933746624999
84,1.72907012,1627.5945
85,1.83883046,1627.5956248875
86,2.06642018,1627.596749775
87,2.33934922,1627.5978746624999
88,2.80399977,1627.599
89,3.63079186,1627.6001248875
90,4.39369579,1627.601249775
91,5.13409202,1627.6023746624999
92,5.39273197,1627.6035
93,5.29446888,1627.6046248875
94,4.39951564,1627.605749775
95,3.51376617,1627.6068746624999
96,2.94368268,1627.608
97,2.38017741,1627.6091248875
98,2.07765186,1627.610249775
99,1.88220122,1627.6113746624999
100,1.72558086,1627.6125
101,1.67367714,1627.6136248875
102,1.68994597,1627.614749775
103,1.77701184,1627.6158746625
104,1.97953573,1627.617
105,1.96535629,1627.6181248875
106,1.92070538,1627.619249775
107,1.86568347,1627.6203746625
108,1.857283,1627.6215
109,2.03605119,1627.6226248875
110,2.497816,1627.623749775
111,3.08031359,1627.6248746625
112,3.72503206,1627.626
113,4.33409041,1627.6271248875
114,4.83387935,1627.628249775
115,5.21230472,1627.6293746625
116,5.3839933,1627.6305
117,5.29786397,1627.6316248875
118,4.77907228,1627.632749775
119,4.09292735,1627.6338746625
120,3.39991275,1627.635
121,2.74734958,1627.6361248875
122,2.19726458,1627.637249775
123,1.91672921,1627.6383746625
124,1.75249163,1627.6395
125,1.67554164,1627.6406248875
126,1.6874739,1627.641749775
127,1.80625881,1627.6428746625
128,1.98085195,1627.644
129,2.31687483,1627.6451248875
130,2.80916883,1627.6462497750001
131,3.3025196,1627.6473746625
132,4.2301296,1627.6485
133,5.00601604,1627.6496248875
134,5.38462453,1627.6507497750001
135,5.31641223,1627.6518746625
136,4.66372606,1627.653
137,3.89601409,1627.6541248875
138,2.90830956,1627.6552497750001
