IDX,FM DAC,BM DAC,PH DAC,SOA DAC,WL Target
0,11425,4698,17448,24222,1627.5
1,11425,4698,17312,24203,1627.502249775
2,11425,4698,17176,24183,1627.5045
3,11425,4698,17061,24172,1627.5067497750001
4,11425,4698,16946,24160,1627.509
5,11425,4698,16826,24142,1627.5112497750001
6,11425,4698,16706,24123,1627.5135
7,11425,4698,16569,24091,1627.5157497750001
8,11425,4698,16432,24059,1627.518
9,11425,4698,16329,24053,1627.5202497750001
10,11425,4698,16226,24046,1627.5225
11,11425,4698,16106,24035,1627.5247497750001
12,11425,4698,15986,24024,1627.527
13,11425,4698,15869,24007,1627.5292497750002
14,11425,4698,15752,23990,1627.5315
15,11425,4698,15637,23986,1627.5337497750002
16,11425,4698,15522,23982,1627.536
17,11425,4698,15394,23958,1627.5382497750002
18,11425,4698,15266,23934,1627.5405
19,11425,4698,15153,23916,1627.5427497750002
20,11425,4698,15040,23898,1627.545
21,11425,4698,14937,23881,1627.5472497750002
22,11425,4698,14834,23863,1627.5495
23,11425,4698,14706,23835,1627.5517497750002
24,11425,4698,14578,23806,1627.554
25,11311,4609,15002,23931,1627.5562497750002
26,11196,4519,15426,24056,1627.5585
27,11196,4519,15330,24039,1627.5607497750002
28,11196,4519,15234,24022,1627.563
29,11196,4519,15154,24009,1627.5652497750002
30,11196,4519,15074,23996,1627.5675
31,11196,4519,14954,23964,1627.5697497750002
32,11196,4519,14834,23931,1627.572
33,11196,4519,14738,23908,1627.574249775
34,11196,4519,14642,23884,1627.5765
35,11196,4519,14533,23844,1627.578749775
36,11196,4519,14424,23804,1627.581
37,11196,4519,14325,23787,1627.583249775
38,11196,4519,14226,23769,1627.5855
39,11196,4519,14114,23747,1627.587749775
40,11196,4519,14002,23724,1627.59
41,11196,4519,13889,23694,1627.592249775
42,11196,4519,13776,23663,1627.5945
43,11196,4519,13680,23635,1627.596749775
44,11196,4519,13584,23607,1627.599
45,11196,4519,13473,23576,1627.601249775
46,11196,4519,13362,23544,1627.6035
47,11196,4519,13261,23516,1627.605749775
48,11196,4519,13160,23487,1627.608
49,11196,4519,13064,23467,1627.610249775
50,11196,4519,12968,23446,1627.6125
51,11196,4519,12869,23425,1627.614749775
52,11196,4519,12770,23403,1627.617
53,11093,4456,13066,23504,1627.619249775
54,10990,4392,13362,23606,1627.6215
55,10990,4392,13258,23577,1627.623749775
56,10990,4392,13154,23548,1627.626
57,10990,4392,13090,23537,1627.628249775
58,10990,4392,13026,23525,1627.6305
59,10990,4392,12938,23505,1627.632749775
60,10990,4392,12850,23484,1627.635
61,10990,4392,12746,23462,1627.637249775
62,10990,4392,12642,23439,1627.6395
63,10990,4392,12537,23415,1627.641749775
64,10990,4392,12432,23390,1627.644
65,10990,4392,12337,23381,1627.6462497750001
66,10990,4392,12242,23372,1627.6485
67,10990,4392,12146,23358,1627.6507497750001
68,10990,4392,12050,23343,1627.653
69,10990,4392,11949,23317,1627.6552497750001
70,10990,4392,11848,23291,1627.6575
71,10990,4392,11765,23280,1627.6597497750001
72,10990,4392,11682,23269,1627.662
73,10990,4392,11586,23249,1627.6642497750001
74,10990,4392,11490,23229,1627.6665
75,10887,4329,11762,23319,1627.6687497750002
76,10784,4265,12034,23409,1627.671
77,10784,4265,11946,23399,1627.6732497750002
78,10784,4265,11858,23389,1627.6755
79,10784,4265,11802,23373,1627.6777497750002
80,10784,4265,11746,23357,1627.68
81,10784,4265,11658,23340,1627.6822497750002
82,10784,4265,11570,23322,1627.6845
83,10784,4265,11473,23290,1627.6867497750002
84,10784,4265,11376,23258,1627.689
85,10784,4265,11280,23232,1627.6912497750002
86,10784,4265,11184,23206,1627.6935
87,10784,4265,11105,23184,1627.6957497750002
88,10784,4265,11026,23162,1627.698
89,10784,4265,10938,23137,1627.7002497750002
90,10784,4265,10850,23112,1627.7025
91,10784,4265,10749,23074,1627.7047497750002
92,10784,4265,10648,23035,1627.707
93,10681,4202,10920,23140,1627.7092497750002
94,10578,4138,11192,23245,1627.7115
95,10578,4138,11104,23204,1627.713749775
96,10578,4138,11016,23163,1627.716
97,10578,4138,10968,23149,1627.718249775
98,10578,4138,10920,23135,1627.7205
99,10578,4138,10824,23087,1627.722749775
100,10578,4138,10728,23038,1627.725
101,10578,4138,10656,23018,1627.727249775
102,10578,4138,10584,22998,1627.7295
103,10578,4138,10501,22969,1627.731749775
104,10578,4138,10418,22940,1627.734
105,10578,4138,10330,22901,1627.736249775
106,10578,4138,10242,22861,1627.7385
107,10578,4138,10161,22836,1627.740749775
108,10578,4138,10080,22811,1627.743
109,10578,4138,10009,22789,1627.745249775
110,10578,4138,9938,22767,1627.7475
111,10578,4138,9858,22739,1627.749749775
112,10578,4138,9778,22711,1627.752
113,10475,4075,10010,22790,1627.754249775
114,10372,4011,10242,22870,1627.7565
115,10372,4011,10170,22855,1627.758749775
116,10372,4011,10098,22839,1627.761
117,10372,4011,10034,22819,1627.763249775
118,10372,4011,9970,22798,1627.7655
119,10372,4011,9898,22780,1627.767749775
120,10372,4011,9826,22762,1627.77
121,10372,4011,9749,22739,1627.772249775
122,10372,4011,9672,22715,1627.7745
123,10372,4011,9592,22693,1627.776749775
124,10372,4011,9512,22670,1627.779
125,10372,4011,9437,22654,1627.781249775
126,10372,4011,9362,22638,1627.7835
127,10372,4011,9282,22614,1627.785749775
128,10372,4011,9202,22590,1627.788
129,10372,4011,9129,22578,1627.7902497750001
130,10372,4011,9056,22566,1627.7925
131,10372,4011,8976,22545,1627.7947497750001
132,10372,4011,8896,22524,1627.797
133,10372,4011,8825,22522,1627.7992497750001
134,10372,4011,8754,22519,1627.8015
135,10372,4011,8682,22507,1627.8037497750001
136,10372,4011,8610,22494,1627.806
137,10372,4011,8541,22478,1627.8082497750001
138,10372,4011,8472,22461,1627.8105
139,10269,3948,8704,22580,1627.8127497750002
140,10166,3884,8936,22699,1627.815
141,10166,3884,8856,22677,1627.8172497750002
142,10166,3884,8776,22655,1627.8195
143,10166,3884,8728,22653,1627.8217497750002
144,10166,3884,8680,22650,1627.824
145,10166,3884,8616,22644,1627.8262497750002
146,10166,3884,8552,22638,1627.8285
147,10166,3884,8480,22622,1627.8307497750002
148,10166,3884,8408,22606,1627.833
149,10166,3884,8333,22578,1627.8352497750002
150,10166,3884,8258,22549,1627.8375
151,10166,3884,8186,22529,1627.8397497750002
152,10166,3884,8114,22508,1627.842
153,10166,3884,8049,22486,1627.8442497750002
154,10166,3884,7984,22463,1627.8465
155,10166,3884,7921,22458,1627.8487497750002
156,10166,3884,7858,22453,1627.851
157,10166,3884,7794,22438,1627.8532497750002
158,10166,3884,7730,22422,1627.8555
159,10166,3884,7666,22407,1627.857749775
160,10166,3884,7602,22391,1627.86
161,10166,3884,7533,22369,1627.862249775
162,10166,3884,7464,22346,1627.8645
163,10063,3821,7664,22431,1627.866749775
164,9960,3757,7864,22517,1627.869
165,9960,3757,7800,22498,1627.871249775
166,9960,3757,7736,22478,1627.8735
167,9960,3757,7696,22463,1627.875749775
168,9960,3757,7656,22447,1627.878
169,9960,3757,7592,22430,1627.880249775
170,9960,3757,7528,22412,1627.8825
171,9960,3757,7472,22394,1627.884749775
172,9960,3757,7416,22375,1627.887
173,9960,3757,7349,22355,1627.889249775
174,9960,3757,7282,22334,1627.8915
175,9960,3757,7218,22314,1627.893749775
176,9960,3757,7154,22293,1627.896
177,9960,3757,7097,22269,1627.898249775
178,9960,3757,7040,22245,1627.9005
179,9960,3757,6976,22225,1627.902749775
180,9960,3757,6912,22205,1627.905
181,9960,3757,6857,22204,1627.907249775
182,9960,3757,6802,22203,1627.9095
183,9960,3757,6738,22187,1627.911749775
184,9960,3757,6674,22171,1627.914
185,9857,3694,6858,22272,1627.916249775
186,9754,3630,7042,22374,1627.9185
187,9754,3630,7002,22369,1627.920749775
188,9754,3630,6962,22363,1627.923
189,9754,3630,6906,22345,1627.925249775
190,9754,3630,6850,22327,1627.9275
191,9754,3630,6794,22319,1627.9297497750001
192,9754,3630,6738,22311,1627.932
193,9754,3630,6669,22289,1627.9342497750001
194,9754,3630,6600,22267,1627.9365
195,9754,3630,6544,22261,1627.9387497750001
196,9754,3630,6488,22255,1627.941
197,9754,3630,6437,22245,1627.9432497750001
198,9754,3630,6386,22234,1627.9455
199,9754,3630,6330,22217,1627.9477497750001
200,9754,3630,6274,22200,1627.95
201,9754,3630,6217,22179,1627.9522497750002
202,9754,3630,6160,22158,1627.9545
203,9754,3630,6104,22145,1627.9567497750002
204,9754,3630,6048,22132,1627.959
205,9651,3567,6224,22241,1627.9612497750002
206,9548,3503,6400,22350,1627.9635
207,9548,3503,6344,22339,1627.9657497750002
208,9548,3503,6288,22327,1627.968
209,9548,3503,6248,22306,1627.9702497750002
210,9548,3503,6208,22285,1627.9725
211,9548,3503,6152,22270,1627.9747497750002
212,9548,3503,6096,22254,1627.977
213,9548,3503,6041,22237,1627.9792497750002
214,9548,3503,5986,22219,1627.9815
215,9548,3503,5938,22193,1627.9837497750002
216,9548,3503,5890,22166,1627.986
217,9548,3503,5834,22146,1627.9882497750002
218,9548,3503,5778,22125,1627.9905
219,9548,3503,5725,22094,1627.9927497750002
220,9548,3503,5672,22062,1627.995
221,9548,3503,5624,22034,1627.997249775
222,9548,3503,5576,22006,1627.9995
223,9548,3503,5525,21881,1628.001749775
224,9548,3503,5474,21756,1628.004
225,9548,3503,5418,21732,1628.006249775
226,9548,3503,5362,21708,1628.0085
227,9548,3503,5313,21678,1628.010749775
228,9548,3503,5264,21647,1628.013
229,9548,3503,5216,21620,1628.015249775
230,9548,3503,5168,21592,1628.0175
231,9445,3440,5328,21669,1628.019749775
232,9342,3376,5488,21747,1628.022
233,9342,3376,5448,21721,1628.024249775
234,9342,3376,5408,21695,1628.0265
235,9342,3376,5360,21671,1628.028749775
236,9342,3376,5312,21647,1628.031
237,9342,3376,5264,21622,1628.033249775
238,9342,3376,5216,21597,1628.0355
239,9342,3376,5169,21573,1628.037749775
240,9342,3376,5122,21548,1628.04
241,9342,3376,5074,21525,1628.042249775
242,9342,3376,5026,21502,1628.0445
243,9342,3376,4973,21482,1628.046749775
244,9342,3376,4920,21462,1628.049
245,9342,3376,4872,21443,1628.051249775
246,9342,3376,4824,21423,1628.0535
247,33646,23395,6229,33474,1628.055749775
